TAX_YEAR,SUBLOT_ID,SECNO,CUSIP,SYMBOL,SEC_DESCR,SEC_TYPE,SEC_SUBTYPE,SUBACCOUNT_TYPE,OPEN_TRAN_ID,CLOSE_TRAN_ID-SEQNO,OPEN_DATE,CLOSE_DATE,CLOSE_EVENT,DISPOSAL_METHOD,QUANTITY,LONG_SHORT_IND,NO_WS_COST,NO_WS_PROCEEDS,NO_WS_GAINLOSS,WS_COST_ADJ,WS_PROC_ADJ,WS_LOSS_ID-SEQNO,1099_ACQ_DATE,1099_DISP_DATE,1099_COST,1099_PROCEEDS,GROSS_NET_IND,TOTAL_GAINLOSS,ORDINARY_GAINLOSS,1099_DISALLOWED_LOSS,1099_MARKET_DISCOUNT,8949_GAINLOSS,8949_CODE,HOLDING_DATE,TERM,COVERED_IND,8949_BOX,1099_1256_CY_REALIZED,1099_1256_PY_UNREALIZED,1099_1256_CY_UNREALIZED,1099_1256_AGGREGATE
2023,CS0001dM7mLHfmP1Ub,9PCFTZ5_R2023-02-07,"",PFE---230203C00045000,CALL PFE    02/03/23    45 PFIZER INC,Option,EquityOption,Margin,230123ELNWJ17BK8X8AI3E000,230201ELMT4P3MFYQWSICK000-1,2023-01-23,2023-02-01,Buy,FIFO,1.00000000,S,$7.13,$96.86,$89.73,$0.00,$0.00,,2023-01-23,2023-02-01,$0.00,$89.73,G,$89.73,$0.00,$0.00,$0.00,$89.73,,,ShortTerm,C,A,,,,
2023,CS0001dM7mKQr94kkE,8UCYHP0_R2023-02-06,"",PFE---230203C00047500,CALL PFE    02/03/23    47.50 PFIZER INC,Option,EquityOption,Margin,230123ELBZ2X0969BEUV81000,230201ELNYRNKEAYW2CE3D000-1,2023-01-23,2023-02-01,Sell,FIFO,1.00000000,L,$21.12,$1.85,-$19.27,$0.00,$0.00,,2023-01-23,2023-02-01,$21.12,$1.85,G,-$19.27,$0.00,$0.00,$0.00,-$19.27,,2023-01-23,ShortTerm,C,A,,,,
2023,CS0001dM7mK9FbIfA9,8UCYHN1_R2023-02-06,"",PFE---230203P00042500,PUT  PFE    02/03/23    42.50 PFIZER INC,Option,EquityOption,Margin,230123ELNJAL53ZFUA5390000,230201ELUL5ZHB6RDT9EBQ000-1,2023-01-23,2023-02-01,Sell,FIFO,1.00000000,L,$29.12,$10.85,-$18.27,$0.00,$0.00,,2023-01-23,2023-02-01,$29.12,$10.85,G,-$18.27,$0.00,$0.00,$0.00,-$18.27,,2023-01-23,ShortTerm,C,A,,,,
2023,CS0001dQXsHf7sbDaz,9KXDGT2_R2023-02-22,"",INTC--230217P00027500,PUT  INTC   02/17/23    27.50 INTEL CORP,Option,EquityOption,Margin,230124ELVWDMKP313K9VX8000,230201SCAVP30201052842000-1,2023-01-24,2023-02-01,Buy,FIFO,4.00000000,S,$220.52,$235.51,$14.99,$0.00,$0.00,,2023-01-24,2023-02-01,$0.00,$14.99,G,$14.99,$0.00,$0.00,$0.00,$14.99,,,ShortTerm,C,A,,,,
2023,CS0001dSyrFT3xUAmm,8UDFWL9_R2023-02-27,"",GOOGL-230224C00104000,CALL GOOGL  02/24/23   104 ALPHABET INC CLASS A,Option,EquityOption,Margin,230125ELUIYP9BFP27LEV3000,230127EL9O70Q2OFWJ8PJS000-1,2023-01-25,2023-01-27,Sell,FIFO,1.00000000,L,$106.12,$196.86,$90.74,$0.00,$0.00,,2023-01-25,2023-01-27,$106.12,$196.86,G,$90.74,$0.00,$0.00,$0.00,$90.74,,2023-01-25,ShortTerm,C,A,,,,
2023,CS0001dSyrKIMDfhgA,9UDFWL5_R2023-02-27,"",GOOGL-230224C00102000,CALL GOOGL  02/24/23   102 ALPHABET INC CLASS A,Option,EquityOption,Margin,230125ELQANLY8GC37C06K000,230127ELLXZ80YHT954QGW000-1,2023-01-25,2023-01-27,Buy,FIFO,1.00000000,S,$275.12,$145.86,-$129.26,$0.00,$0.00,,2023-01-25,2023-01-27,$0.00,-$129.26,G,-$129.26,$0.00,$0.00,$0.00,-$129.26,,,ShortTerm,C,A,,,,
2023,CS0001dSyrK0kftc65,9UCQHY8_R2023-02-27,"",GOOGL-230224P00086000,PUT  GOOGL  02/24/23    86 ALPHABET INC CLASS A,Option,EquityOption,Margin,230125ELVFZPG35NG54LBS000,230127ELNS2RI0BX7URYTY000-1,2023-01-25,2023-01-27,Buy,FIFO,1.00000000,S,$50.12,$128.86,$78.74,$0.00,$0.00,,2023-01-25,2023-01-27,$0.00,$78.74,G,$78.74,$0.00,$0.00,$0.00,$78.74,,,ShortTerm,C,A,,,,
2023,CS0001dZ5KO6fTP2eN,8LBGZG9_R2023-02-21,"",UBER--230217C00034000,CALL UBER   02/17/23    34 UBER TECHNOLOGIES INC,Option,EquityOption,Margin,230127EL6TSFKG73DYRW2E000,230201EL2TB3TCYITNQFGQ000-1,2023-01-27,2023-02-01,Sell,FIFO,1.00000000,L,$53.12,$95.86,$42.74,$0.00,$0.00,,2023-01-27,2023-02-01,$53.12,$95.86,G,$42.74,$0.00,$0.00,$0.00,$42.74,,2023-01-27,ShortTerm,C,A,,,,
2023,CS0001dZ5KOOH1B8ER,8LBGZG9_R2023-02-21,"",UBER--230217C00034000,CALL UBER   02/17/23    34 UBER TECHNOLOGIES INC,Option,EquityOption,Margin,230127EL2ZPNTLDVJZL2OM000,230201EL2TB3TCYITNQFGQ000-2,2023-01-27,2023-02-01,Sell,FIFO,2.00000000,L,$106.24,$191.73,$85.49,$0.00,$0.00,,2023-01-27,2023-02-01,$106.24,$191.73,G,$85.49,$0.00,$0.00,$0.00,$85.49,,2023-01-27,ShortTerm,C,A,,,,
2023,CS0001dZ5KRVw0i7dL,9LBGZG7_R2023-02-22,"",UBER--230217C00033000,CALL UBER   02/17/23    33 UBER TECHNOLOGIES INC,Option,EquityOption,Margin,230127ELCLQ7WOE7CJ409U000,230201EL467HCS09RJP1RA000-1,2023-01-27,2023-02-01,Buy,FIFO,1.00000000,S,$130.13,$72.86,-$57.27,$0.00,$0.00,,2023-01-27,2023-02-01,$0.00,-$57.27,G,-$57.27,$0.00,$0.00,$0.00,-$57.27,,,ShortTerm,C,A,,,,
2023,CS0001dZ5KRnXYUDDP,9LBGZG7_R2023-02-22,"",UBER--230217C00033000,CALL UBER   02/17/23    33 UBER TECHNOLOGIES INC,Option,EquityOption,Margin,230127EL32IVK0XVSCX98W000,230201EL467HCS09RJP1RA000-2,2023-01-27,2023-02-01,Buy,FIFO,2.00000000,S,$260.26,$145.74,-$114.52,$0.00,$0.00,,2023-01-27,2023-02-01,$0.00,-$114.52,G,-$114.52,$0.00,$0.00,$0.00,-$114.52,,,ShortTerm,C,A,,,,
2023,CS0001dZ5KQNVpblJ2,9KSMGM6_R2023-02-22,"",AMZN--230217P00102000,PUT  AMZN   02/17/23   102 AMAZON.COM INC,Option,EquityOption,Margin,230127ELE2LX3GD81DLLM3000,230201EL48YIE8LK0L95YQ000-1,2023-01-27,2023-02-01,Buy,FIFO,1.00000000,S,$503.13,$523.85,$20.72,$0.00,$0.00,,2023-01-27,2023-02-01,$0.00,$20.72,G,$20.72,$0.00,$0.00,$0.00,$20.72,,,ShortTerm,C,A,,,,
2023,CS0001dZ5KGRJlSbwA,8BRVBH5,"",AMZN--230217C00110000,CALL AMZN   02/17/23   110 AMAZON.COM INC,Option,EquityOption,Margin,230127ELJQRV7CN8Y5UMX4000,230201ELBY10SIYTYMX2MQ000-1,2023-01-27,2023-02-01,Sell,FIFO,1.00000000,L,$203.12,$221.85,$18.73,$0.00,$0.00,,2023-01-27,2023-02-01,$203.12,$221.85,G,$18.73,$0.00,$0.00,$0.00,$18.73,,2023-01-27,ShortTerm,C,A,,,,
2023,CS0001dZ5KOfsYxDoW,8SZRKW9_R2023-02-21,"",SWK---230217C00090000,CALL SWK    02/17/23    90 STANLEY BLACK & DECKER,Option,EquityOption,Margin,230127EL5HMYIOQWXQXD0J000,230201ELJ4JJEH76GTT8MX000-1,2023-01-27,2023-02-01,Sell,FIFO,1.00000000,L,$168.12,$328.85,$160.73,$0.00,$0.00,,2023-01-27,2023-02-01,$168.12,$328.85,G,$160.73,$0.00,$0.00,$0.00,$160.73,,2023-01-27,ShortTerm,C,A,,,,
2023,CS0001dZ5KQwiv9wTC,9LBGYY0_R2023-02-21,"",UBER--230217P00027000,PUT  UBER   02/17/23    27 UBER TECHNOLOGIES INC,Option,EquityOption,Margin,230127ELBWGL2PCCIE30LV000,230201ELJR2S68ZCNQJG84000-1,2023-01-27,2023-02-01,Buy,FIFO,1.00000000,S,$46.13,$72.86,$26.73,$0.00,$0.00,,2023-01-27,2023-02-01,$0.00,$26.73,G,$26.73,$0.00,$0.00,$0.00,$26.73,,,ShortTerm,C,A,,,,
2023,CS0001dZ5KREKSw23G,9LBGYY0_R2023-02-21,"",UBER--230217P00027000,PUT  UBER   02/17/23    27 UBER TECHNOLOGIES INC,Option,EquityOption,Margin,230127ELYLJ83DGTUV3Y98000,230201ELJR2S68ZCNQJG84000-2,2023-01-27,2023-02-01,Buy,FIFO,2.00000000,S,$92.26,$145.74,$53.48,$0.00,$0.00,,2023-01-27,2023-02-01,$0.00,$53.48,G,$53.48,$0.00,$0.00,$0.00,$53.48,,,ShortTerm,C,A,,,,
2023,CS0001dZ5KQ5uHpfix,9KSMGM5_R2023-02-22,"",AMZN--230217C00102000,CALL AMZN   02/17/23   102 AMAZON.COM INC,Option,EquityOption,Margin,230127ELO1TRKNY1WW71BT000,230201ELORBNG9N8CYJHNU000-1,2023-01-27,2023-02-01,Buy,FIFO,1.00000000,S,$529.13,$500.85,-$28.28,$0.00,$0.00,,2023-01-27,2023-02-01,$0.00,-$28.28,G,-$28.28,$0.00,$0.00,$0.00,-$28.28,,,ShortTerm,C,A,,,,
2023,CS0001dZ5KTDZHMf7n,9SZRKW7,"",SWK---230217C00085000,CALL SWK    02/17/23    85 STANLEY BLACK & DECKER,Option,EquityOption,Margin,230127EL9JZ7DSDEDJ0B8Q000,230201ELPEEH2TB7TEZA4E000-1,2023-01-27,2023-02-01,Buy,FIFO,1.00000000,S,$621.13,$371.86,-$249.27,$0.00,$0.00,,2023-01-27,2023-02-01,$0.00,-$249.27,G,-$249.27,$0.00,$0.00,$0.00,-$249.27,,,ShortTerm,C,A,,,,
2023,CS0001dZ5KTVAp8khs,9SZRKW8_R2023-02-21,"",SWK---230217P00085000,PUT  SWK    02/17/23    85 STANLEY BLACK & DECKER,Option,EquityOption,Margin,230127ELZDFD0VRGHJ9QIC000,230201ELRU25V49NVAXKFK000-1,2023-01-27,2023-02-01,Buy,FIFO,1.00000000,S,$228.13,$352.86,$124.73,$0.00,$0.00,,2023-01-27,2023-02-01,$0.00,$124.73,G,$124.73,$0.00,$0.00,$0.00,$124.73,,,ShortTerm,C,A,,,,
2023,CS0001dZ5KTmmN6qHE,9UCMGB9_R2023-02-28,"",BYND--230224P00015000,PUT  BYND   02/24/23    15 BEYOND MEAT INC,Option,EquityOption,Margin,230127ELGU6F5AAN8IZAMS000,230202ELZDD0OG6IFRC3VU000-1,2023-01-27,2023-02-02,Buy,FIFO,3.00000000,S,$354.39,$440.62,$86.23,$0.00,$0.00,,2023-01-27,2023-02-02,$0.00,$86.23,G,$86.23,$0.00,$0.00,$0.00,$86.23,,,ShortTerm,C,A,,,,
2023,CS0001dZ5KS596e0HP,9PXZYC4_R2023-02-22,"",PYPL--230217P00075000,PUT  PYPL   02/17/23    75 PAYPAL HOLDINGS INC,Option,EquityOption,Margin,230127EL1S0LKU1H8GE5XZ000,230203EL3MW900B0P47YRX000-1,2023-01-27,2023-02-03,Buy,FIFO,1.00000000,S,$86.13,$208.86,$122.73,$0.00,$0.00,,2023-01-27,2023-02-03,$0.00,$122.73,G,$122.73,$0.00,$0.00,$0.00,$122.73,,,ShortTerm,C,A,,,,
2023,CS0001dZ5KNp3w0eYG,8K59705_R2023-02-21,"",PYPL--230217C00088000,CALL PYPL   02/17/23    88 PAYPAL HOLDINGS INC,Option,EquityOption,Margin,230127ELEERPOCPSWJDIP0000,230203EL64FH0AUQZYLH9S000-1,2023-01-27,2023-02-03,Sell,FIFO,1.00000000,L,$186.12,$413.85,$227.73,$0.00,$0.00,,2023-01-27,2023-02-03,$186.12,$413.85,G,$227.73,$0.00,$0.00,$0.00,$227.73,,2023-01-27,ShortTerm,C,A,,,,
2023,CS0001dZ5KQf7NlYN4,9K59701_R2023-02-21,"",PYPL--230217C00086000,CALL PYPL   02/17/23    86 PAYPAL HOLDINGS INC,Option,EquityOption,Margin,230127ELLD1C0KLDX47GD3000,230203ELM70DJIUU775NSB000-1,2023-01-27,2023-02-03,Buy,FIFO,1.00000000,S,$510.13,$243.86,-$266.27,$0.00,$0.00,,2023-01-27,2023-02-03,$0.00,-$266.27,G,-$266.27,$0.00,$0.00,$0.00,-$266.27,,,ShortTerm,C,A,,,,
2023,CS0001eIvvxRhynZq2,9GRRPJ8,"",BBY---230317P00080000,PUT  BBY    03/17/23    80 BEST BUY CO INC,Option,EquityOption,Margin,230130EL90QSRCZMJ5AIBF000,230201EL128XF7VX3HGA29000-1,2023-01-30,2023-02-01,Buy,FIFO,1.00000000,S,$188.13,$223.86,$35.73,$0.00,$0.00,,2023-01-30,2023-02-01,$0.00,$35.73,G,$35.73,$0.00,$0.00,$0.00,$35.73,,,ShortTerm,C,A,,,,
2023,CS0001eIvvxA6R1UFx,9GPRYZ3_R2023-03-08,"",FL----230317P00042500,PUT  FL     03/17/23    42.50 FOOT LOCKER INC,Option,EquityOption,Margin,230130ELWWFPOSW6Y2WOF2000,230201ELCUI761K82Y62P3000-1,2023-01-30,2023-02-01,Buy,FIFO,2.00000000,S,$406.26,$551.73,$145.47,$0.00,$0.00,,2023-01-30,2023-02-01,$0.00,$145.47,G,$145.47,$0.00,$0.00,$0.00,$145.47,,,ShortTerm,C,A,,,,
2023,CS0001eIvvwsUtFOfs,9GPRYZ2_R2023-03-20,"",FL----230317C00042500,CALL FL     03/17/23    42.50 FOOT LOCKER INC,Option,EquityOption,Margin,230130ELA5ZJC6XUCZ4A7A000,230201ELNISU3FFDPUDXR3000-1,2023-01-30,2023-02-01,Buy,FIFO,2.00000000,S,$892.26,$637.73,-$254.53,$0.00,$0.00,,2023-01-30,2023-02-01,$0.00,-$254.53,G,-$254.53,$0.00,$0.00,$0.00,-$254.53,,,ShortTerm,C,A,,,,
2023,CS0001eIvvuK2zGaRC,8GPRYZ6_R2023-03-16,"",FL----230317C00047500,CALL FL     03/17/23    47.50 FOOT LOCKER INC,Option,EquityOption,Margin,230130ELQXACQRSL9SZGIJ000,230201ELZSWYNDWUFFMDPA000-1,2023-01-30,2023-02-01,Sell,FIFO,2.00000000,L,$246.24,$387.72,$141.48,$0.00,$0.00,,2023-01-30,2023-02-01,$246.24,$387.72,G,$141.48,$0.00,$0.00,$0.00,$141.48,,2023-01-30,ShortTerm,C,A,,,,
2023,CS0001eMj8SYvqjCFn,8Y23446,"",SPY---230217C00415000,CALL SPY    02/17/23   415 STANDARD & POORS DEPOSITORY,Option,EquityOption,Margin,230131ELNPHZIYUZ8OFYB1000,230201ELA5J70MXWJ26QF5000-1,2023-01-31,2023-02-01,Sell,FIFO,1.00000000,L,$315.12,$319.85,$4.73,$0.00,$0.00,,2023-01-31,2023-02-01,$315.12,$319.85,G,$4.73,$0.00,$0.00,$0.00,$4.73,,2023-01-31,ShortTerm,C,A,,,,
2023,CS0001eMj8YWeI15TN,9Y23429,"",SPY---230217C00408000,CALL SPY    02/17/23   408 STANDARD & POORS DEPOSITORY,Option,EquityOption,Margin,230131ELTLXCEWLA5AJX9K000,230201ELH8S1868HB2MC8T000-1,2023-01-31,2023-02-01,Buy,FIFO,1.00000000,S,$630.13,$624.85,-$5.28,$0.00,$0.00,,2023-01-31,2023-02-01,$0.00,-$5.28,G,-$5.28,$0.00,$0.00,$0.00,-$5.28,,,ShortTerm,C,A,,,,
2023,CS0001eT6Uv3KcHUAm,9B36206_R2023-02-06,"",SPXW--230202C04210000,CALL SPXW   02/02/23  4210 CBOE S&P 500 CLOSE/EURO INDEX,Option,IndexOption,Margin,230202ELJ2W6UV82QAGPNR000,230202ELC82310EDO0RDAB000-1,2023-02-02,2023-02-02,Buy,FIFO,1.00000000,S,$149.78,$48.22,-$101.56,$0.00,$0.00,,,,,,,,,,,,,,SixtyForty,C,,-$101.56,$0.00,$0.00,-$101.56
2023,CS0001eT6UnNyuL3St,8BMRZS7_R2023-02-06,"",SPXW--230202C04225000,CALL SPXW   02/02/23  4225 CBOE S&P 500 CLOSE/EURO INDEX,Option,IndexOption,Margin,230202ELGFLPV496G5NPVS000,230202ELRZIU0NU83D806J000-1,2023-02-02,2023-02-02,Sell,FIFO,1.00000000,L,$21.78,$48.22,$26.44,$0.00,$0.00,,,,,,,,,,,,,,SixtyForty,C,,$26.44,$0.00,$0.00,$26.44
2023,CS0001eT6UsmUG4lWA,8CNYYJ4_R2023-02-06,"",SPXW--230202P04050000,PUT  SPXW   02/02/23  4050 CBOE S&P 500 CLOSE/EURO INDEX,Option,IndexOption,Margin,230202ELVRN7BLFLP4WS8H000,230202KU00000002775575000-1,2023-02-02,2023-02-02,OptionExpiration,FIFO,1.00000000,L,$33.78,$0.00,-$33.78,$0.00,$0.00,,,,,,,,,,,,,,SixtyForty,C,,-$33.78,$0.00,$0.00,-$33.78
2023,CS0001eT6UvKwA3Zkt,9CPBFX1_R2023-02-06,"",SPXW--230202P04070000,PUT  SPXW   02/02/23  4070 CBOE S&P 500 CLOSE/EURO INDEX,Option,IndexOption,Margin,230202ELYGZT48KKDZ2UL5000,230202KU00000002821352000-1,2023-02-02,2023-02-02,OptionExpiration,FIFO,1.00000000,S,$0.00,$70.22,$70.22,$0.00,$0.00,,,,,,,,,,,,,,SixtyForty,C,,$70.22,$0.00,$0.00,$70.22
2023,CS0001eT6Uwkxt7j9x,9KSMJW5_R2023-02-21,"",AMZN--230217P00111000,PUT  AMZN   02/17/23   111 AMAZON.COM INC,Option,EquityOption,Margin,230202ELLWP3G9PLWUZE6T000,230203ELKRHH1P817306IU000-1,2023-02-02,2023-02-03,Buy,FIFO,1.00000000,S,$655.13,$527.84,-$127.29,$0.00,$0.00,,2023-02-02,2023-02-03,$0.00,-$127.29,G,-$127.29,$0.00,$0.00,$0.00,-$127.29,,,ShortTerm,C,A,,,,
2023,CS0001eT6UsUsiUNQm,8BRVBY6,"",AMZN--230217C00120000,CALL AMZN   02/17/23   120 AMAZON.COM INC,Option,EquityOption,Margin,230202ELSW9TK3PNNVORQC000,230203ELNBTM3T6JP57T1N000-1,2023-02-02,2023-02-03,Sell,FIFO,1.00000000,L,$270.13,$48.85,-$221.28,$0.00,$0.00,,2023-02-02,2023-02-03,$270.13,$48.85,G,-$221.28,$0.00,$0.00,$0.00,-$221.28,,2023-02-02,ShortTerm,C,A,,,,
2023,CS0001eT6UwTMLLdZs,9KSMHK8_R2023-02-22,"",AMZN--230217C00111000,CALL AMZN   02/17/23   111 AMAZON.COM INC,Option,EquityOption,Margin,230202ELJQLK215MRHTRGG000,230203ELT07GUZ5ISL6DI4000-1,2023-02-02,2023-02-03,Buy,FIFO,1.00000000,S,$179.13,$609.84,$430.71,$0.00,$0.00,,2023-02-02,2023-02-03,$0.00,$430.71,G,$430.71,$0.00,$0.00,$0.00,$430.71,,,ShortTerm,C,A,,,,
